query,page_title,label,user_score,prop_unsure,engagement
'Lutjanus synagris',Redfish,1,0,0.5,0.058823529411764705
'Lutjanus synagris',Lane snapper,1,0,0,0
'Lutjanus synagris',Lutjanus,1,0,0,0
'Lutjanus synagris',List of fishes of Florida,1,0,0.25,0.125
1978 scotland squad,"Macbeth, King of Scotland",0,-0.8636363636363636,0.3888888888888889,0.30578512396694213
1978 scotland squad,1978 FIFA World Cup,1,0.2777777777777778,0.3333333333333333,0.23636363636363636
1978 scotland squad,Hibernian F.C.,0,-0.625,0.5555555555555556,0.27692307692307694
1978 scotland squad,Aberdeen F.C.,0,-0.2857142857142857,0.4166666666666667,0.23404255319148937
1978 scotland squad,Hampden Park,0,-0.5714285714285714,0.36363636363636365,0.23809523809523808
1978 scotland squad,Scotland national football team,1,-0.07407407407407407,0.34146341463414637,0.3962264150943396
1978 scotland squad,1978 Commonwealth Games,0,-0.75,0.2,0.23529411764705882
1978 scotland squad,John Wark,0,0.75,0.3333333333333333,0.21739130434782608
1978 scotland squad,Ally MacLeod,1,0.6666666666666666,0,0.2857142857142857
1978 scotland squad,Lou Macari,1,0.3,0.3333333333333333,0.30434782608695654
1978 scotland squad,1978 FIFA World Cup squads,1,0.3,0.3333333333333333,0.2641509433962264
1978 scotland squad,1982 FIFA World Cup squads,0,-0.5625,0.3333333333333333,0.3194444444444444
1978 scotland squad,Scotland national under-21 football team,0,-0.7272727272727273,0.26666666666666666,0.42424242424242425
1978 scotland squad,1974 FIFA World Cup squads,0,-0.35714285714285715,0.2631578947368421,0.3103448275862069
1978 scotland squad,Willie Johnston,1,-0.5,0,0.08333333333333333
1978 scotland squad,1977–78 in Scottish football,1,-0.5,0,0.5
1978 scotland squad,Scotland women's national football team,0,-0.8,0,0.2857142857142857
1978 scotland squad,List of Scotland international footballers,0,0,0.25,0.125
1978 scotland squad,Scotland national under-19 football team,0,-0.5,0,0.3333333333333333
1978 scotland squad,2007 Cricket World Cup squads,0,-0.75,0.2,0.15384615384615385
1978 scotland squad,1978 European Cup Final,0,-0.6666666666666666,0.25,0.25
1978 scotland squad,History of the Scotland national football team,1,0,0.5,0.2
1978 scotland squad,List of Aberdeen F.C. players,0,0,0.5,0.14285714285714285
1978 scotland squad,List of Sunderland A.F.C. players,0,-0.25,0.2,0.2857142857142857
1978 scotland squad,1978 FIFA World Cup Final,1,0.375,0.1111111111111111,0.36
1978 scotland squad,Scotland at the FIFA World Cup,1,0,0,0.15384615384615385
1978 scotland squad,1978 FIFA World Cup Group 4,1,-0.5,0,0.5
1978 scotland squad,Scotland national football team manager,1,0,0,0
1978 scotland squad,List of Scotland national football team captains,0,0,0.5,0.3333333333333333
3000 BCE,Bronze Age,1,0.5714285714285714,0.33962264150943394,0.18861209964412812
3000 BCE,History of China,0,-0.3018867924528302,0.36904761904761907,0.21818181818181817
3000 BCE,History of India,0,0,0.43636363636363634,0.1529745042492918
3000 BCE,Mehrgarh,0,0.25,0.14285714285714285,0.21212121212121213
3000 BCE,3rd millennium BC,1,0.6666666666666666,0.18181818181818182,0.2564102564102564
3000 BCE,4th millennium BC,1,0.2222222222222222,0.18181818181818182,0.2127659574468085
3000 BCE,5th millennium BC,0,-0.75,0.3333333333333333,0.1388888888888889
3000 BCE,8th millennium BC,0,0,0.375,0.22580645161290322
3000 BCE,Sumer,0,0.58,0.2857142857142857,0.1928374655647383
3000 BCE,20th century BC,0,-0.6666666666666666,0,0.046511627906976744
3000 BCE,300 BC,0,0,0.5,0.1
3000 BCE,Minoan civilization,0,0.1388888888888889,0.3793103448275862,0.1993006993006993
3000 BCE,30th century BC,1,-0.5,0.3333333333333333,0.06896551724137931
3000 BCE,31st century BC,1,0.5,0.3333333333333333,0.08333333333333333
3000 BCE,35th century BC,0,-0.6666666666666666,0.4,0.25
3000 BCE,Neolithic Europe,0,0.8235294117647058,0.22727272727272727,0.2441860465116279
3000 BCE,Timeline of Middle Eastern history,0,-0.045454545454545456,0.2903225806451613,0.23255813953488372
3000 BCE,Red Paint People,0,0,0.5,0.06666666666666667
3000 BCE,Timeline of environmental history,0,0,0.5454545454545454,0.16666666666666666
3000 BCE,Kot Diji,0,0.8,0.2857142857142857,0.2857142857142857
3000 BCE,South Asian Stone Age,0,0.625,0.5294117647058824,0.2711864406779661
3000 BCE,List of timelines,0,-0.5,0.3333333333333333,0.06896551724137931
3000 BCE,History by period,0,0,0.4375,0.10869565217391304
3000 BCE,Bronze Age India,0,0.5,0.14285714285714285,0.23076923076923078
3000 BCE,History of Dubai,0,-0.36363636363636365,0.3888888888888889,0.17171717171717174
3000 BCE,Neolithic Subpluvial,1,0.4,0.2857142857142857,0.18421052631578946
3000 BCE,Timeline of ancient history,1,0.6666666666666666,0.5833333333333334,0.1715686274509804
3000 BCE,Naqada culture,0,0.4,0.2857142857142857,0.24
3000 BCE,Prehistory,1,0.3125,0.38461538461538464,0.14594594594594595
3000 BCE,Ta' Ħaġrat Temples,0,0,0,0
3000 BCE,Shell ring,0,-0.5,0,0.5
3000 BCE,Prehistory of Anatolia,0,0.8,0.2857142857142857,0.20588235294117646
3000 BCE,Indians in Bahrain,0,-0.5,0.5,0.1875
7th day adventist,Adventism,1,0.7,0.23076923076923078,0.19672131147540983
7th day adventist,Seventh-day Adventist Church,1,0.48484848484848486,0.3125,0.20524017467248906
7th day adventist,"Monroe County, Pennsylvania",0,-0.8571428571428571,0.125,0.1891891891891892
7th day adventist,Seventh Day Adventist Reform Movement,1,0,0.16666666666666666,0.25
7th day adventist,Michael (archangel),0,0,0.5434782608695652,0.2122448979591837
7th day adventist,Church of God (Seventh-Day),0,0.375,0.2727272727272727,0.2777777777777778
7th day adventist,List of Seventh-day Adventist colleges and universities,0,0.5,0.25,0.12280701754385964
7th day adventist,List of Seventh-day Adventist hospitals,0,0,0.5,0.043478260869565216
7th day adventist,Southern Adventist University,0,0,0,0
7th day adventist,Pathfinders (Seventh-day Adventist),0,0.5714285714285714,0.2222222222222222,0.13333333333333333
7th day adventist,"Tanza, Cavite",0,-0.875,0.2,0.13636363636363635
7th day adventist,Andrews University,0,0.16666666666666666,0.3333333333333333,0.1951219512195122
7th day adventist,"Van Nest, Bronx",0,-0.5,0,0.125
7th day adventist,History of the Seventh-day Adventist Church,1,0.3,0.3333333333333333,0.16129032258064518
7th day adventist,Polity of the Seventh-day Adventist Church,0,0,0,0.16666666666666666
7th day adventist,Criticism of the Seventh-day Adventist Church,1,0.375,0.2727272727272727,0.2272727272727273
7th day adventist,List of Seventh-day Adventist secondary schools,0,0.5,0.14285714285714285,0.13333333333333333
7th day adventist,Creation Seventh Day Adventist Church,0,0.5,0,0.2
7th day adventist,Davidian Seventh-day Adventist,1,-0.125,0.4666666666666667,0.3111111111111111
7th day adventist,List of Seventh-day Adventists,1,0.2222222222222222,0.35714285714285715,0.2826086956521739
7th day adventist,Kirakira,0,0.5,0,0.5
7th day adventist,28 Fundamental Beliefs (Adventist),0,0.8888888888888888,0.1,0.11538461538461538
7th day adventist,Remnant (Seventh-day Adventist belief),0,0,0.5,0.1
7th day adventist,Seventh-day Adventist eschatology,1,0.6666666666666666,0.25,0.3142857142857143
7th day adventist,Seventh-day Adventist theology,1,0.6666666666666666,0.5,0.11764705882352941
7th day adventist,Sabbath in seventh-day churches,0,0.5454545454545454,0.15384615384615385,0.203125
7th day adventist,Seventh-day Adventism in popular culture,1,0,0.5,0.3333333333333333
7th day adventist,Seventh-day Adventist Hymnal,1,0.5,0,0.125
7th day adventist,Prophecy in the Seventh-day Adventist Church,1,0,0,0.3333333333333333
7th day adventist,Seventh-day Adventist worship,1,0,0,0
Adam Rapp,Guttermouth,0,-0.5,0.6842105263157895,0.29508196721311475
Adam Rapp,Anthony Rapp,0,0.16666666666666666,0.4,0.23076923076923075
Adam Rapp,The Flea Theater,0,0,0,0
Adam Rapp,Adam Pascal,0,-0.625,0.3333333333333333,0.3055555555555555
Adam Rapp,Julianne Nicholson,0,-0.6666666666666666,0.4,0.23333333333333334
Adam Rapp,Michael L. Printz Award,0,-0.6666666666666666,0.5714285714285714,0.2727272727272727
Adam Rapp,George Rapp,0,-0.5,0,0.5
Adam Rapp,Blackbird,1,0,0,0
Adam Rapp,First Second Books,0,0,0,0
Adam Rapp,Adam Rapp,1,0.25,0.2,0.4
Adam Rapp,Winter Passing,1,0,0.8333333333333334,0.2
Adam Rapp,Eugene O'Neill Theater Center,0,0,0.4,0.6666666666666666
Adam Rapp,Rent (albums),0,-0.25,0.2,0.38461538461538464
Adam Rapp,Rapp (surname),0,0,0,0
Adam Rapp,Gina Gionfriddo,0,0,0,0
Adam Rapp,Anne Rapp,0,-0.5,0,0.5
Adam Rapp,List of In Treatment episodes,0,-0.5,0.5,0.09090909090909091
Adam Rapp,Sam Spiegel (musician),0,-0.5,0.6,0.16
Adam Rapp,Mark Siegel,0,0,0,0
Adam Rapp,Lady Rizo,0,0.5,0.3333333333333333,0.2857142857142857
Adam Rapp,Stefan Schwartz,0,0,0.5,0.3333333333333333
Adam Rapp,Blackbird (2007 film),1,0,0,0
Adam Rapp,Loitering with Intent (film),1,0,0,0
Adam Rapp,Katherine Waterston,0,-0.9230769230769231,0.5,0.23364485981308408
Adam Rapp,Home Free (group),0,-0.4,0.4230769230769231,0.15337423312883436
Adam Rapp,Flesh and Bone (miniseries),0,-0.5,0.6,0.14285714285714285
Adam Rapp,Vinyl (TV series),0,-0.5,0.6470588235294118,0.16842105263157894
Affirmative Action (song),Political correctness,0,-0.5416666666666666,0.42857142857142855,0.22527472527472528
Affirmative Action (song),University of Michigan,0,-0.9473684210526315,0.45714285714285713,0.2364864864864865
Affirmative Action (song),Virginia,0,-0.8275862068965517,0.4423076923076923,0.1984732824427481
Affirmative Action (song),Sandra Day O'Connor,0,-0.65625,0.36,0.29940119760479045
Affirmative Action (song),Yes (band),0,-0.9166666666666666,0.7647058823529411,0.17391304347826086
Affirmative Action (song),Affirmative action,0,-0.5,0.4090909090909091,0.24456521739130435
Affirmative Action (song),Racial quota,0,-0.5833333333333334,0.2,0.22058823529411764
Affirmative Action (song),Suprême NTM,1,-0.25,0.3333333333333333,0.25
Affirmative Action (song),Ethnic minorities in China,0,-0.6818181818181818,0.18518518518518517,0.26530612244897955
Affirmative Action (song),Positive,0,0,0,0
Affirmative Action (song),Debate,0,-0.8888888888888888,0.4,0.11382113821138212
Affirmative Action (song),Jedi Mind Tricks,0,0,0.5714285714285714,0.15217391304347827
Affirmative Action (song),Cormega,1,-0.25,0.3333333333333333,0.15384615384615385
Affirmative Action (song),New Jack,0,-0.9230769230769231,0.48,0.3157894736842105
Affirmative Action (song),The Firm (hip hop group),1,-0.16666666666666666,0.3333333333333333,0.22857142857142856
Affirmative Action (song),Never Scared,0,-0.5,0,0.2
Affirmative Action (song),List of Zimbabweans,0,-0.5,0.3333333333333333,0.18181818181818182
Affirmative Action (song),Talk (Yes album),0,-0.9,0.4444444444444444,0.23076923076923075
Affirmative Action (song),Paint It Black (band),0,0,0,0
Affirmative Action (song),One (Creed song),0,0,0.5,0.5
Affirmative Action (song),"Happy Birthday, Mr. President",0,-0.75,0.42857142857142855,0.2727272727272727
Affirmative Action (song),Nas discography,1,-0.35294117647058826,0.41379310344827586,0.23931623931623935
Affirmative Action (song),Visions of Gandhi,1,0,0.5,0.14285714285714285
Affirmative Action (song),Life's a Bitch (song),1,-0.75,0.2,0.3333333333333333
Affirmative Action (song),The Realness,1,0,0,0
Affirmative Action (song),The Album (The Firm album),1,0,0.16666666666666666,0.1891891891891892
Affirmative Action (song),Vinnie Paz,1,-0.75,0.6,0.14754098360655737
Affirmative Action (song),Nellie Wong,0,0,0.5,0.25
Affirmative Action (song),The Message (Nas song),1,0,0,0
Affirmative Action (song),Batman: Arkham City,0,-0.96,0.21875,0.3069306930693069
Affirmative Action (song),AfriForum,0,0,0,0
Affirmative Action (song),The Symphony (song),1,0.5,0,0.09090909090909091
Affirmative Action (song),It Was Written,1,0.35714285714285715,0.5,0.3375
Affirmative Action (song),Street Dreams (song),1,0,0,0
ashes of the singularity,DirectX,1,-0.5625,0.4666666666666667,0.19727891156462585
ashes of the singularity,Douglas Hofstadter,0,-0.3,0.5238095238095238,0.2040816326530612
ashes of the singularity,Singularity,0,-0.2857142857142857,0.3,0.11392405063291139
ashes of the singularity,Gravitational singularity,0,-0.5882352941176471,0.5,0.25190839694656486
ashes of the singularity,Technological singularity,0,-0.375,0.5294117647058824,0.19844357976653698
ashes of the singularity,Voltron,0,-0.6666666666666666,0.6785714285714286,0.3146067415730337
ashes of the singularity,Adunis,0,-0.75,0.7333333333333333,0.25925925925925924
ashes of the singularity,Hassler Whitney,0,-0.6666666666666666,0.25,0.2
ashes of the singularity,Singularitarianism,0,-0.16666666666666666,0.6,0.21212121212121213
ashes of the singularity,Singularity theory,0,-0.7,0.4444444444444444,0.3333333333333333
ashes of the singularity,The Singularity Is Near,0,-0.08333333333333333,0.5714285714285714,0.1971830985915493
ashes of the singularity,Stardock,0,-0.25,0.5,0.1891891891891892
ashes of the singularity,Anti-Monitor,0,0,0.6111111111111112,0.27868852459016397
ashes of the singularity,Digital Ash in a Digital Urn,0,-0.8,0.16666666666666666,0.41666666666666663
ashes of the singularity,The Swallow's Tail,0,-0.6666666666666666,0.625,0.25925925925925924
ashes of the singularity,List of characters in the Honorverse,0,0,0.6666666666666666,0.25
ashes of the singularity,Brad Wardell,1,0,0,0
ashes of the singularity,Thorne–Hawking–Preskill bet,0,-0.3076923076923077,0.5666666666666667,0.37662337662337664
ashes of the singularity,Ashes of Soma,0,0,0,0
ashes of the singularity,Singularity (video game),0,-0.9285714285714286,0.4166666666666667,0.3380281690140845
ashes of the singularity,List of real-time strategy video games,1,-0.6666666666666666,0.25,0.1484375
ashes of the singularity,2016 in video gaming,1,-0.8,0.4642857142857143,0.28421052631578947
ashes of the singularity,GeForce 900 series,1,-0.7727272727272727,0.21428571428571427,0.19148936170212766
ashes of the singularity,Cullerlie stone circle,0,0,0,0
ashes of the singularity,List of games with DirectX 12 support,0,0.25,0.5555555555555556,0.10256410256410256
ashes of the singularity,List of games with Vulkan support,1,-0.2857142857142857,0.2222222222222222,0.13559322033898305
balistic missile defense,Anti-ballistic missile,1,0.9722222222222222,0.12195121951219512,0.21390374331550802
balistic missile defense,Anti-Ballistic Missile Treaty,1,0.5,0.2413793103448276,0.19444444444444442
balistic missile defense,Intercontinental ballistic missile,1,0.47560975609756095,0.26126126126126126,0.2505643340857788
balistic missile defense,Strategic Defense Initiative,1,0.8695652173913043,0.23333333333333334,0.18354430379746836
balistic missile defense,Ballistic missile,1,0.4230769230769231,0.23529411764705882,0.19883040935672514
balistic missile defense,Ballistic Missile Defense Organization,1,-0.5,0,0.125
balistic missile defense,Arrow (Israeli missile),1,0.4642857142857143,0.28205128205128205,0.304
balistic missile defense,Aegis Ballistic Missile Defense System,1,0.7727272727272727,0.18518518518518517,0.15950920245398773
balistic missile defense,United States national missile defense,1,0.8275862068965517,0.2926829268292683,0.19158878504672897
balistic missile defense,Ballistic Missile Early Warning System,1,0.7619047619047619,0.045454545454545456,0.25609756097560976
balistic missile defense,Terminal High Altitude Area Defense,1,0.570281124497992,0.2267080745341615,0.21668909825033647
balistic missile defense,Missile Defense Agency,1,0.7058823529411765,0.2608695652173913,0.2584269662921348
balistic missile defense,Missile defense,1,0.5,0.2413793103448276,0.21804511278195488
balistic missile defense,List of missiles by country,0,-0.07142857142857142,0.17647058823529413,0.25396825396825395
balistic missile defense,Ballistic coefficient,0,-0.8214285714285714,0.15151515151515152,0.3055555555555555
balistic missile defense,Anti-ballistic missile defense countermeasure,1,0,0,0
balistic missile defense,A-135 anti-ballistic missile system,1,0.5454545454545454,0.08333333333333333,0.13253012048192772
balistic missile defense,A-35 anti-ballistic missile system,1,0.8,0.2857142857142857,0.25
balistic missile defense,United Arab Emirates Army,0,-0.8333333333333334,0.14285714285714285,0.13043478260869565
balistic missile defense,Indian Ballistic Missile Defence Programme,1,0.5161290322580645,0.27906976744186046,0.336
balistic missile defense,United States missile defense complex in Poland,1,0.625,0,0.24137931034482757
balistic missile defense,NATO missile defence system,1,0.5714285714285714,0.125,0.1590909090909091
battle of vallahar,Chennai,0,-0.8055555555555556,0.3076923076923077,0.18571428571428572
battle of vallahar,"Parthasarathy Temple, Triplicane",0,-0.8,0.4444444444444444,0.21621621621621623
battle of vallahar,Tambaram,0,0,0,0.05555555555555555
battle of vallahar,History of Chennai,0,-0.5714285714285714,0.5333333333333333,0.24590163934426232
battle of vallahar,Cooum River,0,-0.25,0.6,0.2040816326530612
battle of vallahar,Heavy Vehicles Factory,0,0,0,0.125
battle of vallahar,Cuddalore district,0,-0.75,0.3333333333333333,0.20833333333333331
battle of vallahar,Santhome,0,0,0,0
battle of vallahar,Sethiathoppu,0,0,0,0
battle of vallahar,Traffic Ramaswamy,0,-0.75,0.3333333333333333,0.3333333333333333
battle of vallahar,"St. George's Cathedral, Chennai",1,0,0.25,0.2
battle of vallahar,Battle of Madras,0,0.5,0.5,0.25
battle of vallahar,Madras Central Prison,0,0,0,0
battle of vallahar,Bombardment of Madras,0,0,0.6666666666666666,0.13333333333333333
battle of vallahar,Bantam Presidency,0,0,0,0
battle of vallahar,Khivan campaign of 1873,0,-0.5,0,0.3333333333333333
beauty and the beast cost,Ulysses S. Grant,0,-0.9041095890410958,0.2980769230769231,0.3170731707317073
beauty and the beast cost,John Barrymore,0,-0.9166666666666666,0.29411764705882354,0.2077922077922078
beauty and the beast cost,Snow White and the Seven Dwarfs (1937 film),0,-0.7407407407407407,0.37209302325581395,0.2485207100591716
beauty and the beast cost,Beauty pageant,0,-0.4,0.3181818181818182,0.29577464788732394
beauty and the beast cost,B movie,0,-0.8333333333333334,0.21739130434782608,0.26506024096385544
beauty and the beast cost,Beauty and the Beast (1991 film),1,-0.15,0.375,0.265625
beauty and the beast cost,Tim Rice,0,-0.5333333333333333,0.4230769230769231,0.30864197530864196
beauty and the beast cost,Beauty and the Beast,1,-0.5217391304347826,0.5106382978723404,0.27485380116959063
beauty and the beast cost,The Little Mermaid (1989 film),0,-0.5454545454545454,0.1951219512195122,0.2611464968152866
beauty and the beast cost,Atlantis: The Lost Empire,0,-0.9629629629629629,0.325,0.41237113402061853
beauty and the beast cost,Beast (comics),0,-0.8333333333333334,0.05263157894736842,0.34615384615384615
beauty and the beast cost,Beauty and the Beast (1987 TV series),1,-0.5454545454545454,0.26666666666666666,0.17721518987341772
beauty and the beast cost,List of races and species in The Hitchhiker's Guide to the Galaxy,0,-0.5882352941176471,0.37037037037037035,0.2967032967032967
beauty and the beast cost,Physical attractiveness,0,-0.6896551724137931,0.23684210526315788,0.31932773109243695
beauty and the beast cost,Fantasmic!,0,-0.9230769230769231,0.4090909090909091,0.42857142857142855
