question,reliable,times_asked,responses,prop_unsure,xgbTree,C5.0,nb,multinom,rf,nnet,dnn,meta,keras-1,keras-2
"If someone searched for '...', would they want to read this article?",FALSE,31,7,0.375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"If someone searched for '...', would they want to read this article?",FALSE,24,4,0.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",FALSE,13,6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",FALSE,15,4,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",FALSE,145,12,0.5384615384615384,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",FALSE,85,14,0.26666666666666666,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",TRUE,110,26,0.3333333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",TRUE,65,18,0.5555555555555556,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",TRUE,14,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"If someone searched for '...', would they want to read this article?",FALSE,53,2,0.3333333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"If someone searched for '...', would they want to read this article?",FALSE,93,19,0.3157894736842105,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
