timestamp,last_i,question,features,discernatron_reliable,base_learners,meta_learner
2017-11-20T23:00:22Z,8,"If someone searched for '...', would they want to read this article?",survey-only,TRUE,models/model-cache-base_44ae49db59e8.rds,models/model-cache-meta_44ae5d1104f5.rds
2017-11-20T23:25:10Z,16,"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,models/model-cache-base_44ae6808d65b.rds,models/model-cache-meta_44ae5a930988.rds
2017-11-20T23:33:47Z,24,"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,models/model-cache-base_44ae66c61c6.rds,models/model-cache-meta_44ae73219c5b.rds
2017-11-20T23:44:30Z,32,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,models/model-cache-base_44ae5795b9ad.rds,models/model-cache-meta_44ae55340d28.rds
2017-11-21T00:04:40Z,40,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,models/model-cache-base_44ae421781f7.rds,models/model-cache-meta_44ae74a63f26.rds
2017-11-21T01:25:54Z,48,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,models/model-cache-base_257e41efdaa0.rds,models/model-cache-meta_257e712df7dd.rds
2017-11-21T01:58:19Z,56,"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,models/model-cache-base_257e3ef2a711.rds,models/model-cache-meta_257e585dbd34.rds
2017-11-21T02:17:32Z,64,"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,models/model-cache-base_257e6838aa29.rds,models/model-cache-meta_257e1d0adaaa.rds
2017-11-21T02:29:41Z,72,"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,models/model-cache-base_257e21a61ee7.rds,models/model-cache-meta_257e9d1bd99.rds
2017-11-21T02:38:47Z,80,"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,models/model-cache-base_257e6ea83450.rds,models/model-cache-meta_257e7d3ac04f.rds
2017-11-21T02:48:53Z,88,"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,models/model-cache-base_257e3912f144.rds,models/model-cache-meta_257e43650d28.rds
2017-11-21T02:58:56Z,96,"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,models/model-cache-base_257e408e23f4.rds,models/model-cache-meta_257e1a75e99e.rds
2017-11-21T03:07:52Z,104,"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,models/model-cache-base_257e22c846a8.rds,models/model-cache-meta_257e31efaaf9.rds
2017-11-21T03:17:30Z,112,"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,models/model-cache-base_257e67690d02.rds,models/model-cache-meta_257e32d30153.rds
2017-11-21T03:28:18Z,120,"If you searched for '...', would this article be a good result?",survey-only,TRUE,models/model-cache-base_257e7db880a9.rds,models/model-cache-meta_257e722359c4.rds
2017-11-21T03:37:32Z,128,"If you searched for '...', would this article be a good result?",survey & page info,TRUE,models/model-cache-base_257e744d5cf7.rds,models/model-cache-meta_257eb87748.rds
2017-11-21T03:47:53Z,136,"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,models/model-cache-base_257e77eec31f.rds,models/model-cache-meta_257e2224891e.rds
2017-11-21T03:58:09Z,144,"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,models/model-cache-base_257e26bf9cdf.rds,models/model-cache-meta_257e6a26b744.rds
2017-11-21T04:11:39Z,152,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,models/model-cache-base_257e3be83ea1.rds,models/model-cache-meta_257e7d4e7f5f.rds
2017-11-21T04:25:12Z,160,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,models/model-cache-base_257e618f4f2f.rds,models/model-cache-meta_257e7e3c3686.rds
2017-11-21T04:43:26Z,168,"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,models/model-cache-base_257ed803759.rds,models/model-cache-meta_257e237f29d0.rds
2017-11-21T05:10:59Z,176,"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",TRUE,models/model-cache-base_257e6f6a2e63.rds,models/model-cache-meta_257e4c72de6a.rds
2017-11-21T05:27:40Z,184,"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",TRUE,models/model-cache-base_257e7bdce704.rds,models/model-cache-meta_257e57a2d88c.rds
